model,mean_score,std_score,n
claude-opus-4-6,0.7218359650129484,0.10219331203096474,200
claude-sonnet-4-6,0.6923950181594009,0.10374281879578537,200
google/gemma-4-31b-it,0.6819514518702116,0.10204809269152279,200
gpt-5.1,0.6931631445845632,0.10415367294204025,200
meta/llama-3.1-405b-instruct,0.697538012290352,0.09884404034830853,200
meta/llama-3.2-1b-instruct,0.606227585203778,0.10725273859703968,200
meta/llama-4-maverick-17b-128e-instruct,0.6643872545062838,0.10378434920588313,200
mistralai/mistral-large-3-675b-instruct-2512,0.6400321201616066,0.09964767106304698,200
moonshotai/kimi-k2-instruct-0905,0.675950248526739,0.10081277026622938,200
openai/gpt-oss-120b,0.6595390019094524,0.10273690752262116,200
